aID,artID,title,creationDate,acquisitionDate,price,form
1,1,Refugee Camp,2020-09-09,2021-02-07,12000,painting
1,2,Waiting,2020-12-28,2021-02-07,15000,painting
1,3,Palestenian Women,2021-01-01,2021-02-07,1700,painting
2,4,Al Momin,1920-02-19,1921-03-09,20000,painting
2,5,God,1921-01-01,1921-07-08,22000,painting
3,6,Bird,2021-02-04,2021-05-04,40000,sculpture
3,7,Leaves,2021-01-04,2021-07-07,30000,sculpture
4,8,The Holy Man,2014-01-01,2014-01-02,10000,sculpture
5,9,Salvador Dali,2014-01-01,2015-01-01,190,print
6,10,Landscape,2019-01-25,2020-01-01,200,print
6,11,Musician,2020-01-25,2021-01-01,15000,sculpture
6,12,Sunset,2020-06-25,2021-08-01,19000,painting
7,13,Singawala,2015-05-20,2017-07-02,10000,painting
8,14,Shakuntala,2000-09-27,2001-08-19,50000,painting
9,15,Grey Horse,1989-07-01,1999-07-10,10000,painting
9,16,Blue Horse,1989-08-01,1999-08-15,20000,sculpture
9,17,The Lady,1989-09-01,1999-09-17,30000,painting
9,18,Horse in MoonLight,1989-10-01,1999-10-21,40000,painting
10,19,Flag,2000-01-01,2000-05-05,12000,painting
10,20,Three Flags,2000-09-19,2000-12-12,11500,painting
10,21,Corpse and Mirror,2015-01-01,2016-01-01,14000,painting
10,22,Map,2017-08-09,2018-12-12,19000,painting
11,23,Fishing Boats,1990-01-10,1991-10-19,12000,painting
11,24,The Gulf Stream,1992-03-04,1993-03-04,15000,painting
11,25,A Basket of Clams,1993-04-05,1994-04-05,16000,painting
11,26,Glass Windows,1993-05-07,1993-07-29,12000,painting
11,27,Flower Garden,1999-05-01,1999-08-03,18000,painting
12,28,Mount Hood,1995-09-10,1995-09-12,200,print
12,29,Buffalo Trail,1995-09-10,1995-09-12,200,print
12,30,Indian Spear Fishing,1995-09-10,1995-09-12,200,print
12,31,Sunset in the Rockies,1995-09-10,1995-09-12,200,print
12,32,Donner Lake,1995-09-10,1995-09-12,200,print
12,33,Bridal Veil Falls,1995-09-10,1995-09-12,200,print
12,34,A Rustic Mill,1995-09-10,1995-09-12,200,print
12,35,Street in Nassau,1995-09-10,1995-09-12,200,print
12,36,Gates of The Yosemite,1995-09-10,1995-09-12,200,print
12,37,California Spring,1995-09-10,1995-09-12,200,print
12,38,The Wolf River,1995-09-10,1995-09-12,200,print
12,39,Mount Corcoran,1989-09-10,1995-09-12,40000,painting
13,40,Night Windows,2000-09-05,2000-12-05,30000,painting
13,41,Ground Swell,1990-06-20,2020-07-02,15000,painting
13,42,Morning Sun,1995-01-01,2020-07-02,12000,painting
13,43,Gas,1990-09-20,2020-07-02,22000,painting
13,44,Nighthawks,2000-09-11,2000-09-15,25000,sculpture
14,45,Oriental Poppies,2020-04-09,2021-06-19,20000,painting
14,46,Rocky Mountains,2014-09-18,2016-08-20,40000,painting
14,47,Canyon with Crows,2018-06-06,2018-06-08,50000,painting
14,48,Unexpected,2011-07-09,2011-07-11,300,print
14,49,Leaf Motif,2011-07-09,2011-07-11,350,print
14,50,Jimson Weed,2018-01-09,2019-07-04,18000,painting
14,51,The Black Place,2018-09-19,2019-11-12,22000,painting
14,52,Cow Skull,2019-07-16,2020-12-12,18000,painting
14,53,Sky Above Clouds,2018-07-15,2018-07-16,21000,painting
15,54,Four Head Bend,2020-07-09,2021-08-09,59000,painting
16,55,Win Some Lose Some,2015-07-04,2018-07-06,19000,painting
17,56,Polygraph,2018-04-05,2020-04-07,15000,sculpture
18,57,Old House in Seoul,2015-01-10,2017-01-09,17000,sculpture
19,58,Time Waterfall,2020-05-05,2021-01-08,29000,sculpture
20,59,Twilight Breeze,2020-10-08,2020-10-25,15000,painting
21,60,Mirror Grden ,2015-01-01,2016-07-07,10000,sculpture
